stazione,idStazione,idRegione
CESANO DI ROMA,S08319,Lazio
CESANO MADERNO,S01086,
CESATE,S01075,
CESE,S09473,Campania
CESENA,S05066,Emilia Romagna
CESENATICO,S05815,Emilia Romagna
CETO - CERVENO,N00228,
CETRARO,S11735,Calabria
CEVA,S00742,Piemonte
CHAMBAVE,S00141,Valle d'Aosta
CHATILLON SAINT VINCENT,S00142,Valle d'Aosta
CHERASCO,S00733,Piemonte
CHIANCHE CEPPALONI,S09510,Campania
CHIARAVALLE,S07201,Marche
CHIARI,S01713,Lombardia
CHIARONE,S08007,Toscana
CHIASSO,S01301,Lombardia
CHIAVARI,S04722,Liguria
CHIAVENNA,S01400,Lombardia
CHIERI,S00500,Piemonte
CHIETI,S07712,Abruzzo
CHIEUTI SERRACAPRIOLA,S11021,Puglia
CHIGNOLO PO,S01868,Lombardia
CHIOGGIA,S05428,Veneto
CHIOMONTE,S00206,Piemonte
CHIRIALZA,S12899,Sardegna
CHIUDUNO,S01536,Lombardia
CHIURO,S01435,Lombardia
"CHIUSA ",S02017,Trentino Alto Adige
CHIUSANO COSSOMBRONE,S00429,Piemonte
CHIUSI C.T.,S06925,Toscana
CHIVASSO,S00232,Piemonte
CIAMPINO,S08650,Lazio
CIARDES,S02209,Trentino Alto Adige
CINISI TERRASINI,S12126,Sicilia
CIRE',S00090,
CIRELLA MAJERA`,S11730,Calabria
CIRO',S11820,Calabria
CISANO CAPRINO BERGAMASCO,S01525,Lombardia
CISLAGO,N00015,
CISMON DEL GRAPPA,S02500,Veneto
CISTERNA DI LATINA,S08603,Lazio
CISTERNINO,S11131,Puglia
CITERNA TARO,S06154,Emilia Romagna
CITTADELLA,S02535,Veneto
CITTADUCALE,S07406,Lazio
CITTA` DELLA PIEVE,S08200,Umbria
CITTIGLIO,N00032,
CIVATE,S01462,Lombardia
CIVIDALE,S03056,
CIVIDATE - MALEGNO,N00225,
CIVITA CASTELLANA,S08211,Lazio
CIVITA D`ANTINO-MORINO,S08853,Abruzzo
CIVITANOVA MARCHE,S07506,Marche
CIVITAVECCHIA,S08010,Lazio
CIVITAVECCHIA M.MA,S08012,Lazio
CIVITAVECCHIA VIALE DELLA VITTORIA,S08024,Lazio
CIVITELLA - BADIA AL PINO,S06066,
CIVITELLA PAGANICO,S06822,Toscana
CIVITELLA ROVETO,S08852,Abruzzo
CIXERRI,S12970,Sardegna
CLASSE,S05812,Emilia Romagna
COCCAGLIO,S01540,Lombardia
COCCONATO,S00425,Piemonte
COCQUIO - TREVISAGO,N00030,
COCULLO,S08534,Abruzzo
CODIGORO,S05799,
CODOGNO,S01828,Lombardia
CODOLA,S09703,Campania
CODROIPO,S02831,Friuli-Venezia Giulia
COGNO - ESINE,N00224,
COGOLETO,S04532,Liguria
COLDRANO-MARTELLO,S02206,Trentino Alto Adige
COLFELICE,S08820,
COLICO,S01420,Lombardia
COLLARMELE,S08548,
"COLLE ISARCO ",S02005,Trentino Alto Adige
COLLE MATTIA,S08651,Lazio
COLLE VAL D`ELSA,S06840,Toscana
COLLECCHIO,S06151,Emilia Romagna
COLLEDIMEZZO,S07994,
COLLEFERRO-SEGNI-PALIANO,S08657,Lazio
COLLEGNO,S00217,Piemonte
COLLESALVETTI,S06018,Toscana
COLLEVECCHIO,S08221,Lazio
COLLI DI MONTE BOVE,S08520,Abruzzo
COLMEGNA,S01111,
COLOGNE,S01539,Lombardia
COLONNA GALLERIA,S08653,
COLORNO,S01852,Emilia Romagna
COMIGNAGO,S00050,Piemonte
COMISO,S12411,Sicilia
COMO NORD BORGHI,N00043,
COMO NORD CAMERLATA,N00042,
COMO NORD LAGO,N00044,
COMO S. GIOVANNI,S01307,Lombardia
COMPIOBBI,S06902,Toscana
COMPRE S.VINCENZO,S08816,
CONA F. C.,S05169,
CONDOFURI,S11861,Calabria
CONDOVE,S00212,Piemonte
CONEGLIANO,S02706,Veneto
CONSELICE,S05950,Emilia Romagna
CONTEA LONDA,S06702,Toscana
CONTESSE,S12355,Sicilia
CONTIGLIANO,S07404,Lazio
CONTURSI TERME,S09826,Campania
CONZA ANDRETTA CAIRANO,S09618,
CORBETTA S. STEFANO,S01041,Lombardia
CORBEZZI,S05115,Toscana
CORCHIANO,S08112,Lazio
CORDOVADO SESTO,S02661,Friuli-Venezia Giulia
CORIGLIANO CALABRO,S11812,Calabria
CORMANO - BRUSUGLIO,N00058,
CORMANO - BRUSUGLIO,S01080,
CORMONS,S03300,Friuli-Venezia Giulia
CORNIGLIA,S04734,Liguria
CORNINO,S03053,Friuli-Venezia Giulia
CORNUDA,S02569,Veneto
CORONELLA,S05719,
CORRIDONIA MOGLIANO,S07308,Marche
CORSANO,S09324,Campania
CORSICO,S01064,Lombardia
CORTEOLONA,S01865,Lombardia
COSENZA,S11910,Calabria
COSIO TRAONA,S01424,Lombardia
COSSATO,S00973,Piemonte
COSTA,S02375,Veneto
COSTA MASNAGA,S01491,Lombardia
COSTIGLIOLE (MOTTA DI),S00348,Piemonte
COSTIGLIOLE D`ASTI,S00829,Piemonte
COSTIGLIOLE SALUZZO,S00702,Piemonte
COTIGNOLA,S05956,Emilia Romagna
COTILIA,S07432,Lazio
COURGNE',S00888,
COZZE,S11151,Puglia
COZZO,S00332,Lombardia
CREMA,S01605,Lombardia
CREMONA,S01915,Lombardia
CRESCENTINO,S00172,Piemonte
CRESPINO DEL LAMONE,S06607,
CRESSA FONTANETO,S00017,Piemonte
CREVALCORE,S05316,Emilia Romagna
CROCETTA,S07988,
CROCICCHIE,S08317,Lazio
CROPANI,S11830,Calabria
CROTONE,S11823,Calabria
CRUCOLI,S11819,Calabria
CUCCIAGO,S01312,Lombardia
CUNEO,S00610,Piemonte
CUNEO GESSO,S00611,Piemonte
CUNICO SCANDELUZZA,S00427,Piemonte
CUPONE,S08810,Abruzzo
CUPRAMARITTIMA,S07511,Marche
CUREGGIO,S00051,Piemonte
CURINGA,S11972,
CUSANO,S02700,Friuli-Venezia Giulia
CUTRO,S11826,Calabria
CUZZAGO,S01010,Piemonte
DARFO-CORNA,S01006,
DECIMOMANNU,S12888,Sardegna
DEGO,S00877,Liguria
DEIVA MARINA,S04728,Liguria
DELEBIO,S01422,Lombardia
DERBY,S00162,Valle d'Aosta
DERVIO,S01408,Lombardia
DESENZANO,S02084,Lombardia
DESIO,S01320,Lombardia
DIAMANTE BUONVICINO,S11731,Calabria
DIANO MARINA,S04511,Liguria
DICOMANO,S06701,Toscana
DIECIMO - PESCAGLIA,S06310,Toscana
DITTAINO,S12240,Sicilia
DIVACA,S44200,
"DOBBIACO ",S02113,Trentino Alto Adige
DOGATO,S05174,
DOLE VILLE,S71341,
DOLO,S02587,Veneto
DOMEGLIARA,S02055,Veneto
DOMODOSSOLA,S01003,Piemonte
DONNA,S04202,Piemonte
DONNAFUGATA,S12412,Sicilia
DONNAZ,S00148,Valle d'Aosta
DORIO,S01407,Lombardia
DORMELLETTO,S01025,Piemonte
DORMELLETTO PAESE,S00980,Piemonte
DOSSOBUONO,S02330,Veneto
DRAGONI,S09021,
DRONERO,S00722,Piemonte
DUBINO,S01405,Lombardia
DUEVILLE,S02146,Veneto
DUGO SELO,S72517,
DUOMO VIA VERNIERI,S09819,
Dev.Int. DD/AV,S08220,Lazio
EBOLI,S09824,Campania
ECA NASAGO`,S00926,Piemonte
ECCELLENTE,S11788,Calabria
EDOLO,N00235,
"EGNA-TERMENO ",S02032,Trentino Alto Adige
EGNAZIA,S11154,Puglia
ELLERA CORCIANO,S07003,Umbria
ELMAS AEROPORTO,S12819,
EMPOLI,S06510,Toscana
ENAS,S12856,Sardegna
ENNA,S12238,Sicilia
ENZITETO/CATINO,S11041,
EQUI TERME,S06226,Toscana
ERBA,S01096,
ERBANNO - ANGONE,N00222,
ESTE,S02396,Veneto
EXILLES,S00251,Piemonte
FIRENZE S.M.N.,S06421,Toscana
FABRIANO,S07208,Marche
FABRIANO CA` MAIANO,S07059,Marche
FABRICA DI ROMA,S08111,Lazio
FABRO-FICULLE,S08201,Umbria
FAENZA,S05058,Emilia Romagna
FAE`FORTOGNA,S02557,Veneto
FAGARE,S02762,Veneto
FAGNANO CAMPANA,S07420,Abruzzo
FALCIANO MONDRAGONE CAR.,S09001,Campania
FALCONARA,S12405,Sicilia
FALCONARA IBLEA,S12440,
FALCONARA MARITTIMA,S07111,Marche
FALCONARA STADIO,S07117,Marche
FALCONE,S12038,Sicilia
FALERNA,S11747,Calabria
FANNA - CAVASSO,S03083,Friuli-Venezia Giulia
FANO,S07105,Marche
FANZOLO,S02575,Veneto
FARA,S00112,Piemonte
FARA SABINA,S08214,Lazio
FARIGLIANO,S00737,Piemonte
FASANO,S11130,Puglia
FAUGLIA - LORENZANA,S06021,Toscana
FAVAZZINA,S11771,Calabria
FAVRIA,S00885,
FEDERICO,S12136,Sicilia
FELEGARA - S.ANDREA BAGNI,S06103,Emilia Romagna
FELETTO,S00883,
FELIZZANO,S00468,Piemonte
FELONICA PO,S05162,
FELTRE,S02564,Veneto
FERENTINO-SUPINO,S08661,Lazio
FERNO LONATE POZZOLO,S01138,
FEROLETO ANTICA PIANOPOLI,S11952,Calabria
FERRANDINA,S11458,Basilicata
FERRANIA,S04804,Liguria
FERRARA,S05712,Emilia Romagna
FERRARA ALEOTTI,S05167,
FERRARA P. RENO,S05168,
FERRERA LOMELLINA,S00404,Lombardia
FERRUZZANO,S11856,Calabria
FI ROVEZZANO,S06901,Toscana
FIDENE,S08235,Lazio
FIDENZA,S05009,Emilia Romagna
FIERA,S12137,Sicilia
FIESOLE CALDINE,S06953,Toscana
FIGLINE VALDARNO,S06908,Toscana
FILATTIERA,S06165,Toscana
FILDIDONNA,S12277,Sicilia
FILIANO,S11211,Basilicata
FINALE LIGURE MARINA,S04522,Liguria
FINO MORNASCO,N00039,
FIORENZUOLA,S05007,Emilia Romagna
FIRENZE CAMPO MARTE,S06900,Toscana
FIRENZE CASTELLO,S06419,Toscana
FIRENZE RIFREDI,S06420,Toscana
FIRENZE STATUTO,S06430,Toscana
FISCIANO,S09519,Campania
FIUMEFREDDO BRUZIO,S11741,Calabria
FIUMEFREDDO DI SICILIA,S12322,Sicilia
FIUMELATTE,S01412,Lombardia
FIUMETORTO,S12015,Sicilia
FIUMICINO AEROPORTO,S08411,Lazio
FIVIZZANO - GASSANO,S06223,Toscana
FIVIZZANO ROMETTA - SOLIERA,S06222,Toscana
FOGGIA,S11100,Puglia
FOGNANO,S06618,
FOLIGNO,S07217,Umbria
FOLLONICA,S06033,Toscana
FONDI - SPERLONGA,S08606,Lazio
FONTAN SAORGE,S00621,
FONTANA LIRI,S08818,
FONTANA LIRI INFERIORE,S08819,
FONTANAFREDDA,S02702,Friuli-Venezia Giulia
FONTANAROSA,S09199,
FONTANETTO PO,S00174,Piemonte
FONTANIVA,S02534,Veneto
FONTEBUONA,S06619,Toscana
FONTECCHIO,S07421,Abruzzo
FONYOD,S03491,
FORENZA,S11210,Basilicata
FORGARIA BAGNI ANDUINS,S03054,Friuli-Venezia Giulia
FORLIMPOPOLI,S05065,Emilia Romagna
FORLI`,S05059,Emilia Romagna
FORMIA-GAETA,S08640,Lazio
FORNACI DI BARGA,S06304,Toscana
FORNO ALLIONE,N00232,
FORNOVO,S06153,Emilia Romagna
FORTE DEI MARMI SERRAVEZZA Q.,S06011,Toscana
"FORTEZZA ",S02011,Trentino Alto Adige
FOSCIANDORA - CESERANA,S06301,Toscana
FOSSACESIA,S07819,Abruzzo
FOSSACESIA - TORINO DI SANGRO,S07018,Abruzzo
FOSSALTA DI PIAVE,S02667,Veneto
FOSSALTA DI PORTOGRUARO,S03201,Veneto
FOSSANO,S00606,Piemonte
FOSSATO DI VICO GUBBIO,S07209,Umbria
FRAGNETO MONFORTE,S09506,Campania
FRAMURA,S04729,Liguria
FRANCAVILLA,S12361,Sicilia
FRANCAVILLA AL MARE,S07813,Abruzzo
FRANCAVILLA ANGITOLA F.,S11752,Calabria
FRANCAVILLA FONTANA,S11603,Puglia
FRANCIA,S12139,Sicilia
FRANCIOSA,S09842,
FRASCATI,S08751,Lazio
FRASSO,S08806,
FRASSO T. DUGENTA,S09305,Campania
FRATTA,S02374,Veneto
FRATTAMAGGIORE,S09008,Campania
FRATTAROLO,S11053,Puglia
FRATTE,S09522,Campania
FRATTE CENTRO,S02524,Veneto
FRATTE VILLA COMUNALE,S09524,Campania
FROSINONE,S08662,Lazio
FRUGAROLO BOSCOMARENGO,S04200,Piemonte
FRUTIGEN,S07478,
FUNO CENTERGROSS,S05726,Emilia Romagna
FURCI,S12313,Sicilia
FUSCALDO,S11738,Calabria
GENOVA P.PRINCIPE,S04700,Liguria
GABELLA GRANDE,S11871,Calabria
GAGGI,S12358,Sicilia
GAGGIANO,S01063,Lombardia
GAGGIO,S02671,Veneto
GAGLIOLE,S07311,Marche
GAIBANELLA,S05800,Emilia Romagna
GAIFANA,S07212,Umbria
GALATI,S12305,Sicilia
GALDO,S09900,Campania
GALLARATE,S01030,Lombardia
GALLESE BASSANELLO,S08113,Lazio
GALLESE IN TEVERINA,S08210,Lazio
GALLIATE,N00054,
GALLIERA,S05721,Emilia Romagna
GALLIERA VENETA TOMBOLO,S02541,Veneto
GAMALERO,S00861,Piemonte
GAMBERALE-S.ANGELO P.,S07997,
GAMBETTOLA,S05067,Emilia Romagna
GAMBOLO`REMONDO`,S00274,Lombardia
GARBAGNA,S00030,Piemonte
GARESSIO,S00924,Piemonte
"GARGAZZONE ",S02218,
GARIBALDI,N00090,
GARLASCO,S00276,Lombardia
GATTEO A MARE,S05816,Emilia Romagna
GATTINARA,S00052,Piemonte
GAVIGNANO,S08241,
GAVIRATE,N00028,
GAVIRATE VERBANO,N00029,
GAVORRANO,S06036,Toscana
GAZZADA SCHIANNO MORAZZONE,S01207,Lombardia
GAZZO DI BIGARELLO,S02381,Lombardia
GAZZO PIEVE S. GIACOMO,S01917,Lombardia
GELA,S12407,Sicilia
GEMELLI,S08326,Lazio
GEMONA DEL FRIULI,S03019,Friuli-Venezia Giulia
GEMONIO,N00031,
GENGA S.VITTORE TERME,S07206,Marche
GENOVA ACQUASANTA,S04107,Liguria
GENOVA BOLZANETO,S04218,Liguria
GENOVA BORZOLI,S04109,Liguria
GENOVA BRIGNOLE,S04702,Liguria
GENOVA CORNIGLIANO,S04538,Liguria
GENOVA COSTA DI SESTRI PONENTE,S04110,Liguria
GENOVA GRANARA,S04108,Liguria
GENOVA MARITTIMA S. LIMBANIA,S04603,Liguria
GENOVA NERVI,S04707,Liguria
GENOVA P. PRINCIPE SOTTERRANEA,S04701,Liguria
GENOVA PEGLI,S04536,Liguria
GENOVA PONTEDECIMO,S04217,Liguria
GENOVA PRA,S04535,Liguria
GENOVA QUARTO DEI MILLE,S04704,Liguria
GENOVA QUINTO AL MARE,S04705,Liguria
GENOVA RIVAROLO,S04219,Liguria
GENOVA S.BIAGIO,S04222,Liguria
GENOVA SAMPIERDARENA,S04220,Liguria
GENOVA SAN QUIRICO,S04213,
GENOVA SESTRI PONENTE,S04537,Liguria
GENOVA STURLA,S04703,Liguria
GENOVA VESIMA,S04540,Liguria
GENOVA VIA DI FRANCIA,S04223,Liguria
GENOVA VOLTRI,S04534,Liguria
GENOVA VOLTRI MARE,S04541,
GERENZANO - TURATE,N00014,
GERMAGNANO,S00096,
GHEDI,S01841,Lombardia
GHEMME,S00110,Piemonte
GHISLARENGO,S00974,Piemonte
GHIVIZZANO - COREGLIA,S06306,Toscana
GIACHERY,S12138,Sicilia
GIAMPILIERI,S12308,Sicilia
GIAROLE,S00316,Piemonte
GIARRE RIPOSTO,S12324,Sicilia
GIAVE,S12866,Sardegna
GINOSA,S11462,Puglia
GIOIA DEL COLLE,S11505,Puglia
GIOIA TAURO,S11766,Calabria
GIOIOSA JONICA,S11848,Calabria
GIOJOSA MAREA,S12033,Sicilia
GIOVI,S06084,
GIOVINAZZO,S11115,Puglia
GIUBIASCO,S00850,
GIUGLIANO QUALIANO,S09100,Campania
GIULIANOVA,S07802,Abruzzo
GIUNCANO,S07225,Umbria
GIUNCARICO,S06037,Toscana
GIZZERIA LIDO,S11748,Calabria
GLORIE,S05809,Emilia Romagna
GODO,S05904,Emilia Romagna
GOLE DI ALCANTARA,S12366,Sicilia
GOLFO ARANCI,S12852,Sardegna
GONZAGA-REGGIOLO,S02344,Lombardia
GOPPESTEIN,S07474,
GORGO AL MONTICANO,S02766,Veneto
GORIANO SICOLI,S08535,Abruzzo
GORIZIA CENTRALE,S03304,Friuli-Venezia Giulia
GOZZANO,S00015,Piemonte
GRAGNANO,S09758,Campania
GRAGNOLA,S06224,Toscana
GRAMMICHELE,S12272,Sicilia
GRANAIOLO,S06801,Toscana
GRANAROLO,S05955,Emilia Romagna
GRANDATE - BRECCIA,N00041,
GRANITI,S12359,Sicilia
GRASSANO,S11456,Basilicata
GRAVELLONA TOCE,S00007,Piemonte
GRAVINA IN PUGLIA,S11306,Puglia
GRECCIO,S07403,Lazio
GRICIGNANO,S09300,Campania
GRIGNANO,S03315,Friuli-Venezia Giulia
GRIGNASCO,S00106,Piemonte
GRIGNO,S02317,Trentino Alto Adige
GRISIGNANO DI ZOCCO,S02579,Veneto
GRISOLIA S.MARIA,S11729,Calabria
GRIZZANA,S05133,Emilia Romagna
GROANE,S01927,
GROPELLO CAIROLI,S00277,Lombardia
GROSSETO,S06039,Toscana
GROTTAGLIE,S11602,Puglia
GROTTAMMARE,S07512,Marche
GROTTE,S12372,Sicilia
GROTTE S.STEFANO,S08301,Lazio
GRUMELLO DEL MONTE,S01537,Lombardia
GRUMO APPULA,S11502,Puglia
GUALDO TADINO,S07211,Umbria
GUARDAVALLE,S11843,Calabria
GUARDIA MANGANO SANTA VENERINA,S12327,Sicilia
GUARDIA PIEMONTESE TERME,S11737,Calabria
GUARDIAREGIA,S09456,Molise
GUIDONIA-MONTECELLO-S.ANGELO,S08506,Lazio
GYEKENYES,S00125,
HONE BARD,S00147,Valle d'Aosta
HORB,S29399,
IGEA MARINA,S05818,Emilia Romagna
IGLESIAS,S12950,Sardegna
IL CIONFO,S06958,
IL CIONFO BIN. LE CURE,S06957,Toscana
IL CIONFO BIN. SALVIATI,S06951,Toscana
IL NETO,S06424,Toscana
IMOLA,S05054,Emilia Romagna
IMPERIA ONEGLIA,S04510,Liguria
IMPERIA PORTO MAURIZIO,S04509,
INCISA,S06907,Toscana
INCISA SCAPACCINO,S00835,Piemonte
INCORONATA,S11101,Puglia
INDICATORE,S06914,Toscana
INDUNO OLONA,S01204,Lombardia
INVERIGO,S01093,
IPOGEO DEGLI OTTAVI,S08330,Lazio
ISELLE DI TRASQUERA,S01952,
ISEO,N00210,
ISERNIA,S09053,Molise
ISOLA CAPO RIZZUTO,S11825,Calabria
ISOLA DEL CANTONE,S04210,Liguria
ISOLA DELLA SCALA,S05307,Veneto
ISOLA DELLE FEMMINE,S12129,Sicilia
ISOLA D`ASTI,S00347,Piemonte
ISOLA LIRI,S08858,Lazio
ISOLETTA-S.GIOVANNI I.,S08665,Lazio
ISPICA,S12421,Sicilia
ISPRA,S01121,Lombardia
ISTRANA,S02539,Veneto
ITRI,S08607,Lazio
IVREA,S00154,Piemonte
JENBACH,S01176,
JESI,S07202,Marche
JOPPOLO,S11763,Calabria
KANDERSTEG,S07475,
KARLSRUHE HBF,S01800,
KNITTEFELD,S03612,
KOELN HBF,S02100,
KRIZEVCI,S73107,
LA BRIGUE,S00634,
LA FIORA,S08808,Lazio
LA GIUSTINIANA,S08321,Lazio
LA RUSTICA UIR,S08514,
LA SALLE,S00132,Valle d'Aosta
LA SPEZIA CENTRALE,S06000,Liguria
LA SPEZIA MIGLIARINA,S06004,Liguria
LA STORTA,S08320,Lazio
LABICO,S08654,
LABRO MOGGIO,S07427,Lazio
LACES,S02207,Trentino Alto Adige
LADISPOLI-CERVETERI,S08021,Lazio
LAGONEGRO,S09911,Basilicata
LAIGUEGLIA,S04514,Liguria
"LAIVES ",S02029,Trentino Alto Adige
LAMA,S05418,Veneto
LAMA DI RENO,S05121,Emilia Romagna
LAMBRINIA,S01869,Lombardia
LAMBRUGO - LURAGO D'ERBA,S01094,
LAMEZIA TERME CENTRALE,S11749,Calabria
LAMEZIA TERME NICASTRO,S11951,Calabria
LAMEZIA TERME SAMBIASE,S11950,Calabria
"LANA-POSTAL ",S02219,Trentino Alto Adige
LANCENIGO,S02710,Veneto
LANCETTI,N00092,
LANCIANO,S07986,
LANUVIO,S08733,Lazio
LANZARA FIMIANI,S09707,Campania
LANZO,S00095,
LAPIO,S09604,
LARINO,S09466,Molise
LASA,S02204,Trentino Alto Adige
LASCARI,S12018,Sicilia
LATERINA,S06912,Toscana
LATIANO,S11606,Puglia
LATINA,S08608,Lazio
LATISANA LIGNANO B.,S03202,Friuli-Venezia Giulia
LAURIANO,S00421,Piemonte
LAVAGNA,S04723,Liguria
LAVENO MOMBELLO,S01118,Lombardia
LAVEZZOLA,S05806,Emilia Romagna
LAVINO,S05041,Emilia Romagna
LAVIS,S02037,Trentino Alto Adige
LAVORATE,S09708,Campania
LE CAVE,S02009,
LE PIAGGE,S06516,Toscana
LECCE,S11145,Puglia
LECCO,S01520,Lombardia
LECCO MAGGIANICO,S01522,Lombardia
LEGGIUNO MONVALLE,S01120,Lombardia
LEGNAGO,S02366,Veneto
LEGNANO,S01033,Lombardia
LENDINARA,S02373,Veneto
LENTINI,S12341,Sicilia
LENTINI DIRAMAZIONE,S12340,Sicilia
LEONESSA,S11219,Basilicata
LEONFORTE-PIRATO,S12239,Sicilia
LERCARA BASSA,S12205,Sicilia
LERINO,S02578,Veneto
LESA,S01018,Piemonte
LESEGNO,S00954,Piemonte
LESMO,S01501,Lombardia
LETOJANNI,S12316,Sicilia
LEVADA,S02568,Veneto
LEVANTO,S04731,Liguria
LEVATA,S02019,
LEVICO,S02309,Trentino Alto Adige
LEZZA - CARPESINO,N00075,
LICATA,S12400,Sicilia
LIDO DI CLASSE-LIDO DI SAVIO,S05813,Emilia Romagna
LIDO DI LAVINIO,S08708,Lazio
LIDO DI TURBIGO,N00052,
LIERNA,S01413,Lombardia
LIMONE,S00617,Piemonte
LIONI,S09616,Campania
LIONI VALLE DELLE VITI,S09628,Campania
LISIDE,S11124,
LISIERA,S02530,Veneto
LISON,S02663,Veneto
LISSONE-MUGGIO`,S01321,Lombardia
LIVORNO CENTRALE,S06725,Toscana
LIVORNO FERRARIS,S00237,Piemonte
LOANO,S04519,Liguria
LOCATE TRIULZI,S01801,Lombardia
LOCATE V. - CARBONATE,N00017,
LOCRI,S11851,Calabria
LODI,S01825,Lombardia
LOMAZZO,N00036,
LOMELLO,S00405,Lombardia
LONATO,S02083,Lombardia
LONGARONE ZOLDO,S02556,Veneto
LONGOBARDI,S11742,Calabria
LONIGO,S02441,Veneto
LOREO,S05423,Veneto
LORETO,S07503,Marche
LUCCA,S06404,Toscana
LUCIGNANO - MARCIANO - POZZO,S06069,
LUGO,S05951,Emilia Romagna
LUINO,S01113,Lombardia
LUMIGNACCO,S03125,Friuli-Venezia Giulia
LUNGAVILLA,S01806,Lombardia
LUNGHEZZA,S08503,Lazio
LUNI,S06003,
LUOGOSANO,S09606,Campania
LUSERNA S. GIOVANNI,S00523,Piemonte
LYON ST EXUPERY,S76290,
L`AQUILA,S07414,Abruzzo
MILANO CENTRALE,S01700,Lombardia
MACCAGNO,S13653,
MACCARESE,S08020,Lazio
MACERATA,S07307,Marche
MACERATA FONTESCODELLA,S07313,Marche
MACHERIO SOVICO,S01500,Lombardia
MACHERIO-CANONICA,S01484,Lombardia
MACOMER,S12869,Sardegna
MADDALENE,S00607,Piemonte
MADDALONI INFERIORE,S09212,Campania
MADDALONI SUPERIORE,S09303,Campania
MADIGNANO,S01610,Lombardia
MADONNA DEL PIANO,S08108,Lazio
MADONNA DEL PILONE,S00820,Piemonte
MADONNA DELLA SCALA,S00501,Piemonte
MADONNA DELLE GRAZIE,S09773,
MADONNA DI CAMPAGNA,S00083,
MADONNA DI CASTRO,S12853,Sardegna
MAERNE DI MARTELLAGO,S02512,Veneto
MAGENTA,S01040,Lombardia
MAGIONE,S07002,Umbria
MAGLIANA,S08404,Lazio
MAGLIANO CRAVA MOROZZO,S00951,Piemonte
MAGNA GRECIA,S11042,
MAGNACAVALLO,S05159,
MAGRE`- CORTACCIA,S02033,Trentino Alto Adige
MAJANO,S03051,Friuli-Venezia Giulia
MALEO,S01910,Lombardia
MALLES VENOSTA,S02200,Trentino Alto Adige
MALNATE,N00023,
MALONNO,N00233,
MALPENSA,S01139,
MALTIGNANO DEL TRONTO,S07555,Marche
MANAROLA,S04735,Liguria
MANDATORICCIO CAMPANA,S11817,Calabria
MANDELA-SAMBUCI,S08512,Lazio
MANDELLO DEL LARIO,S01415,Lombardia
MANDOLOSSA,N00203,
MANDRAS,S12898,
MANERBIO,S01902,Lombardia
MANFREDONIA,S11054,Puglia
MANIAGO,S03084,Friuli-Venezia Giulia
MANOPPELLO,S07710,Abruzzo
MANTA,S00700,Piemonte
MANTOVA,S02336,Lombardia
MANTOVA FRASSINE,S02380,Lombardia
MANZANO,S03030,Friuli-Venezia Giulia
MANZIANA-CANALE MONTERANO,S08314,Lazio
MARANO,S02142,Veneto
MARANO TICINO,S00983,Piemonte
MARATEA,S11723,Basilicata
MARAUSA,S12104,Sicilia
MARCARIA,S01921,Lombardia
MARCELLINA VERBICARO ORSOMARSO,S11728,Calabria
MARCELLINA-PALOMBARA,S08507,Lazio
MARCELLINARA,S11953,Calabria
MARCIANISE,S09301,Campania
MARCONI,S11121,
MARCONIA,S11800,Basilicata
MARECHIARO,S08716,Lazio
MARGARITA,S00902,Piemonte
MARGHERITA DI SAV./OFANTINO,S11107,Puglia
MARIANO COMENSE,S01089,Lombardia
MARIANOPOLI,S12234,Sicilia
MARIGLIANO,S09750,Campania
MARINA DI CERVETERI,S08022,Lazio
MARINA DI MARATEA,S11724,Basilicata
MARINA DI SAN LORENZO,S11862,Calabria
MARINELLA,S12854,Sardegna
MARINO,S08701,Lazio
MARINO DEL TRONTO FOLIGNANO,S07556,Marche
MARLENGO,S02214,Trentino Alto Adige
MARMORE,S07401,Umbria
MARONE - ZONE,N00214,
MAROTTA MONDOLFO,S07107,Marche
MARRADI,S06610,Toscana
MARRUBIU TERRALBA ARBOREA,S12879,Sardegna
MARSALA,S12107,Sicilia
MARZABOTTO,S05105,Emilia Romagna
MARZAMEMI,S12444,Sicilia
MARZOCCA,S07109,Marche
MASCALI,S12323,Sicilia
MASCHIO,S04811,Liguria
MASI TORELLO,S05171,
MASSA CENTRO,S06009,Toscana
MASSAFISCAGLIA,S05179,
MASSAFRA,S11510,Puglia
MASSALOMBARDA,S05952,Emilia Romagna
MASSAROSA BOZZANO,S06350,Toscana
MATELICA,S07301,Marche
MATHI,S00093,
MATREI,S02263,
MATRICE MONTAGANO,S09461,Molise
MATTARELLO,S02040,
MAZARA DEL VALLO,S12110,Sicilia
MEDA,S01087,
MEDE,S00406,Lombardia
MEDESANO,S06102,Emilia Romagna
MEDUNO,S03082,Friuli-Venezia Giulia
MEINA,S01019,Piemonte
MELANO MARISCHIO,S07065,Marche
MELE,S04106,Liguria
MELEGNANO,S01822,Lombardia
MELFI,S11206,Basilicata
MELITO DI PORTO SALVO,S11863,Calabria
MELZO,S01705,Lombardia
MELZO SCALO,S02215,
MEMMENANO,S06075,
MENTON,S75648,
MEOLO,S02668,Veneto
MERANA,S00875,Piemonte
MERANO,S02216,Trentino Alto Adige
MERANO MAIA BASSA,S02217,Trentino Alto Adige
MERCATO SAN SEVERINO,S09706,Campania
MERCENASCO,S00156,Piemonte
MERGOZZO,S01012,Piemonte
MERONE,S01454,Lombardia
MESAGNE,S11607,Puglia
MESSINA CENTRALE,S12301,Sicilia
